orthogroup	subset	gene	description	1021	WSM419	USDA1106	descriptions
OG0003454	OG0003454.0	gst5	glutathione S transferase family protein	1021_SMc01238			hypothetical protein; glutathione S-transferase; glutathione S-transferase family protein
OG0003455	OG0003455.2		hypothetic al protein	1021_SMc00935	WSM419_Smed_1372		transcriptional activator HlyU-like protein; hypothetical protein; transcriptional activator HlyU
OG0003456	OG0003456.0		invasion associated locus B family protein	1021_SMc00950	WSM419_Smed_1396		signal peptide protein; invasion associated locus B family protein; invasion-associated protein
OG0003457	OG0003457.0		ABC transporter substrate binding protein	1021_SMc00513	WSM419_Smed_1487		extracellular ligand-binding receptor; amino acid-binding periplasmic protein; ABC transporter substrate-binding protein
OG0003458	OG0003458.0		hypothetical protein	1021_SMc00492	WSM419_Smed_1501		hypothetical protein; lipoprotein
OG0003459	OG0003459.2		carbohydrate kinase	1021_SMc00473			carbohydrate kinase; sugar kinase; winged helix-turn-helix transcriptional regulator; Sugar kinase, ribokinase
OG0003460	OG0003460.0		histidine phosphatase family protein	1021_SMc00468	WSM419_Smed_1528		hypothetical protein; histidine phosphatase family protein; putative phosphohistidine phosphatase SixA; phosphohistidine phosphatase protein
OG0003461	OG0003461.0		hypoth etical protein	1021_SMc00548	WSM419_Smed_1531		hypothetical protein; signal peptide protein; putative signal peptide protein
OG0003462	OG0003462.0		DUF922 domain containing protein	1021_SMc00194	WSM419_Smed_1535		hypothetical protein; DUF922 domain-containing protein
OG0003463	OG0003463.6		NAD(P) dependent oxid oreductase	1021_SMc00165	WSM419_Smed_1563		short chain dehydrogenase; SDR family NAD(P)-dependent oxidoreductase; NAD(P)-dependent oxidoreductase; SDR family oxidoreductase
OG0003464	OG0003464.0		DUF2059 domain containing protein	1021_SMc00153	WSM419_Smed_1572		hypothetical protein; DUF2059 domain-containing protein
OG0003465	OG0003465.0		ABC transporter per me ase	1021_SMc00139	WSM419_Smed_1589		ABC transporter permease; polar amino acid ABC transporter permease; polar amino acid ABC transporter inner membrane subunit; nopaline ABC transporter permease; amino acid ABC transporter permease
OG0003466	OG0003466.0		amino acid ABC transporter per me ase	1021_SMc00138	WSM419_Smed_1590		ABC transporter permease; polar amino acid ABC transporter permease; polar amino acid ABC transporter inner membrane subunit; amino acid ABC transporter permease
OG0003467	OG0003467.0		LacI family DNA binding transcriptional regulator	1021_SMc04260	WSM419_Smed_1730		transcriptional regulator; LacI family DNA-binding transcriptional regulator; LacI family transcriptional regulator; periplasmic binding protein/LacI transcriptional regulator
OG0003468	OG0003468.0		glyoxalase/bleomycin resistance family protein	1021_SMc04266	WSM419_Smed_1735		glyoxalase/bleomycin resistance protein/dioxygenase; hypothetical protein; bleomycin resistance protein; glyoxalase/bleomycin resistance/extradiol dioxygenase family protein; VOC family protein
OG0003469	OG0003469.0		carboxymuconolactone decarboxylase family protein	1021_SMc01460	WSM419_Smed_2036		alkylhydroperoxidase; hypothetical protein; carboxymuconolactone decarboxylase family protein
OG0003470	OG0003470.0		AzlD family protein	1021_SMc01883	WSM419_Smed_2057		AzlD family protein; hypothetical protein; branched-chain amino acid transport
OG0003471	OG0003471.0		hypothetical protein	1021_SMc01859	WSM419_Smed_2089		hypothetical protein
OG0003472	OG0003472.3	parA	ParA family protein	1021_SMc01579	WSM419_Smed_2127		ParA family protein; hypothetical protein; cobyrinic acid ac-diamide synthase; chromosome partitioning protein A; ATPase
OG0003473	OG0003473.2		hypothetical protein	1021_SMc01541	WSM419_Smed_2211,WSM419_Smed_6106,WSM419_Smed_6108		hypothetical protein; TPR domain-containing protein
OG0003474	OG0003474.0		membrane protein	1021_SMc01561	WSM419_Smed_2221		putative transmembrane protein; hypothetical protein; transmembrane protein; membrane protein
OG0003475	OG0003475.12		EamA/RhaT family transporter	1021_SMc01584	WSM419_Smed_2237		hypothetical protein; DMT family transporter; EamA/RhaT family transporter; EamA family transporter
OG0003476	OG0003476.0	pepQ	aminopeptidase P family protein	1021_SMc02684	WSM419_Smed_2255		aminopeptidase P family protein; Xaa-Pro dipeptidase; peptidase M24; hydrolase/peptidase
OG0003477	OG0003477.0		hypothetical protein	1021_SMc02685	WSM419_Smed_2256		hypothetical protein
OG0003478	OG0003478.0		DUF2333 domain containing protein	1021_SMc02729	WSM419_Smed_2299		hypothetical protein; transmembrane protein; DUF2333 family protein; DUF2333 domain-containing protein
OG0003479	OG0003479.0	hmuS	hemin degrading factor	1021_SMc01513	WSM419_Smed_2338		hemin transport protein; hemin-degrading factor; iron transporter; hemin-degrading family protein
OG0003480	OG0003480.0		dihydrofol ate reductase	1021_SMc02439			hypothetical protein; dihydrofolate reductase; bifunctional deaminase/reductase-like protein
OG0003481	OG0003481.0		hypothetical protein	1021_SMc02447	WSM419_Smed_2513		hypothetical protein
OG0003482	OG0003482.0		short chain dehydroge nase	1021_SMc00733	WSM419_Smed_2528		short chain dehydrogenase; short-chain dehydrogenase; SDR family oxidoreductase
OG0003483	OG0003483.0		hypothetical protein	1021_SMc00648	WSM419_Smed_2612		hypothetical protein
OG0003484	OG0003484.0		hypot hetic al protein	1021_SMc04014	WSM419_Smed_2686		hypothetical protein; aminotransferase class 4 protein; para-aminobenzoate synthase component I
OG0003485	OG0003485.0	omp10	hypoth etical protein	1021_SMc04017	WSM419_Smed_2689		outer membrane lipoprotein; hypothetical protein; outer membrane lipoprotein Omp10-like protein precursor; putative outer membrane lipoprotein
OG0003486	OG0003486.0		LysM peptidoglycan binding domain containing protein	1021_SMc04018	WSM419_Smed_2690		multifunctional 2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'-nucleotidase/3'-nucleotidase; bifunctional metallophosphatase/5'-nucleotidase; 5'-nucleotidase domain-containing protein; 5'-nucleotidase; LysM peptidoglycan-binding domain-containing protein
OG0003487	OG0003487.2		alcohol dehydrogenase	1021_SMc03929	WSM419_Smed_2747		Zn-dependent alcohol dehydrogenase; zinc-type alcohol dehydrogenase transmembrane protein; alcohol dehydrogenase
OG0003488	OG0003488.0		tetratricopeptide repeat protein	1021_SMc03935	WSM419_Smed_2754		tetratricopeptide repeat-containing protein; hypothetical protein; GlcNAc transferase; tetratricopeptide repeat protein; O-linked GlcNAc transferase
OG0003489	OG0003489.0		aa3 typ e cytochrome c oxidase subunit IV	1021_SMc03941	WSM419_Smed_2760		hypothetical protein; aa3-type cytochrome c oxidase subunit IV; aa3 type cytochrome c oxidase subunit IV
OG0003490	OG0003490.0	pckR	LacI family transcriptional regulator	1021_SMc02975	WSM419_Smed_2764		alanine racemase; phosphoenolpyruvate carboxykinase regulator transcription regulator protein; LacI family DNA-binding transcriptional regulator; LacI family transcriptional regulator
OG0003491	OG0003491.0		hypothetical protein	1021_SMc02989	WSM419_Smed_2776		hypothetical protein
OG0003492	OG0003492.0		hypothetical protein	1021_SMc02497	WSM419_Smed_2926		hypothetical protein; DUF4345 domain-containing protein
OG0003493	OG0003493.0		membrane protein	1021_SMc02475	WSM419_Smed_2946		outer membrane lipoprotein omp19; outer membrane lipoprotein; hypothetical protein; membrane protein; outer membrane lipoprotein Omp19
OG0003494	OG0003494.6		ABC transporter b b ing rotein	1021_SMc03830	WSM419_Smed_3067		ABC transporter permease; hypothetical protein; ABC transporter; ABC transporter substrate-binding protein
OG0003495	OG0003495.0		thiamine diphospho kinase	1021_SMc03867	WSM419_Smed_3105		hypothetical protein; thiamine diphosphokinase; thiamine pyrophosphokinase
OG0003496	OG0003496.0	rpoH2	RNA polymerase factor sigma 32	1021_SMc03873	WSM419_Smed_3111		RNA polymerase factor sigma-32
OG0003497	OG0003497.0	ndvB	protein ndvB	1021_SMc04382	WSM419_Smed_3155		protein NdvB; protein ndvB; cyclic beta 1-2 glucan synthetase; beta-(1,2)-glucan production associated transmembrane protein; glycosyltransferase; DUF3131 domain-containing protein; beta-(1,2)-glucan biosynthesis protein
OG0003498	OG0003498.0		hypothetical protein	1021_SMc02803	WSM419_Smed_3199		hypothetical protein; lipoprotein
OG0003499	OG0003499.0		NAD(P) dependent oxidoreduc tase	1021_SMa0516			hypothetical protein; 6-phosphogluconatedehydrogenase; NAD(P)-dependent oxidoreductase; oxidoreductase
OG0003500	OG0003500.0		hypothetical protein	1021_SMa0667	WSM419_Smed_5188		hypothetical protein
OG0003501	OG0003501.0		HlyD family secreti on protein	1021_SMa0669	WSM419_Smed_5189		hemolysin D; HlyD family secretion protein; hypothetical protein; secretion protein HlyD family protein
OG0003502	OG0003502.3		alpha/beta hydrolase	1021_SMa0792	WSM419_Smed_6254		alpha/beta hydrolase fold protein; hypothetical protein; hydrolase; alpha/beta fold hydrolase; alpha/beta hydrolase
OG0003503	OG0003503.1		I o in in te in	1021_SMa5006	WSM419_Smed_4694		type II toxin-antitoxin system VapC family toxin; hypothetical protein; PIN domain nuclease; PilT domain-containing protein; PIN domain-containing protein
OG0003504	OG0003504.8	norD	VWA domain co n tain ing protein	1021_SMa1269	WSM419_Smed_6286		NorD accessory protein for nitric oxide reductase; NorD protein required for nitric oxide reductase (Nor) activity; NorD protein; nitric oxide reductase activation protein NorD; VWA domain-containing protein; von Willebrand factor type A
OG0003505	OG0003505.8	norQ	CbbQ/NirQ/NorQ/GpvN family protein	1021_SMa1272	WSM419_Smed_6287		NorQ protein required for nitric oxide reductase activity; ATPase; NorQ protein; NorQ accessory protein for nitric oxide reductase; CbbQ/NirQ/NorQ/GpvN family protein
OG0003506	OG0003506.5	norE	nitric oxide reductase i	1021_SMa1279	WSM419_Smed_6291		nitric oxide reductase; nitric oxide reduction protein NorE; cytochrome c oxidase subunit 3 family protein; cytochrome c oxidase subunit III; NorE protein involved in nitric oxide reduction (Cytochrome c oxidase subunit III-like protein); nitric oxide reductase (cytochrome c) subunit E; hypothetical protein; nitric oxide reductase subunit E; NorE accessory protein for nitric oxide reductase
OG0003507	OG0003507.2		ABC transporter substrate binding protein	1021_SM_b20108,1021_SM_b20144,1021_SMa1438	WSM419_Smed_3985,WSM419_Smed_4029,WSM419_Smed_5080		hypothetical protein; peptide ABC transporter substrate-binding protein; extracellular solute-binding protein; ABC transporter substrate-binding protein; ABC transporter oligopeptide-binding protein
OG0003508	OG0003508.0		amidohydrolase protein	1021_SMa1677	WSM419_Smed_5232		amidohydrolase; Metallo-dependent hydrolase; hypothetical protein; amidohydrolase family protein
OG0003509	OG0003509.26		putative sulfate exporte r family transporter	1021_SM_b21531,1021_SMa1737	WSM419_Smed_4868		hypothetical protein; putative sulfate exporter family transporter
OG0003510	OG0003510.1		UbiD family decarboxylase	1021_SM_b20136,1021_SMa2217	WSM419_Smed_3999		hypothetical protein; UbiD family decarboxylase; decarboxylase; carboxylase
OG0003511	OG0003511.4		ABC transporter binding protein	1021_SM_b20184	WSM419_Smed_3932		ABC transporter ATP-binding protein; ABC transporter-like protein; ABC transporter substrate-binding protein; 2-phenylethanol ABC transporter ATP-binding protein
OG0003512	OG0003512.4		multidrug ABC transporter permease	1021_SM_b20185	WSM419_Smed_3931		multidrug ABC transporter permease; hypothetical protein; ABC transporter permease; ABC-2 type transporter
OG0003513	OG0003513.0		TIGR04290 family methyltransferase	1021_SM_b20238	WSM419_Smed_1428,WSM419_Smed_3894		TIGR04290 family methyltransferase; methyltransferase domain-containing protein; type 12 methyltransferase; methyltransferase, TIGR04290 family; hypothetical protein; type 11 methyltransferase
OG0003514	OG0003514.0	capD	polysaccharide biosynthesis protein	1021_SM_b21232	WSM419_Smed_4568		polysaccharide biosynthesis protein CapD; nucleotide sugar epimerase dehydratase; capsular polysaccharide biosynthesis protein; polysaccharide biosynthesis protein; capsular polysaccharide biosynthesis protein CapD
OG0003515	OG0003515.0		ABC transport er permease	1021_SM_b21145	WSM419_Smed_4638		ABC transporter permease; choline uptake ABC transporter permease; binding-protein-dependent transport system inner membrane protein
OG0003516	OG0003516.8	abfA	alpha N arabinofuranosidase	1021_SM_b20924	WSM419_Smed_5583		Alpha-N-arabinofuranosidase; alpha-L-arabinofuranosidase; alpha-N-arabinofuranosidase
OG0003517	OG0003517.3		DUF488 domain containing protein	1021_SM_b21412	WSM419_Smed_4425		hypothetical protein; DUF488 domain-containing protein
OG0003518	OG0003518.0		DUF922 domain containing protein	1021_SM_b21492	WSM419_Smed_4366		hypothetical protein; DUF922 domain-containing protein
OG0003519	OG0003519.0		LacI family DNA binding transcriptional regulator	1021_SM_b20667	WSM419_Smed_4322		regulatory protein LacI; LacI family DNA-binding transcriptional regulator; LacI family transcriptional regulator
OG0003520	OG0003520.2		xylose isomerase	1021_SM_b20711	WSM419_Smed_4269		xylose isomerase; xylose isomerase domain-containing protein; putative sugar epimerase; hypothetical protein; sugar epimerase; amino acid isomerase
OG0003521	OG0003521.2		carbohydrat e ABC transport er permease	1021_SM_b20632	WSM419_Smed_2144,WSM419_Smed_4161		binding-protein-dependent transport systems inner membrane component; sugar uptake ABC transporter permease; carbohydrate ABC transporter permease; sugar ABC transporter permease; binding-protein-dependent transport system inner membrane protein
OG0003522	OG0003522.2		sugar ABC transporter substrate binding protein	1021_SM_b20634	WSM419_Smed_2146,WSM419_Smed_4159		extracellular solute-binding protein; sugar uptake ABC transporter substrate-binding protein precursor; sugar ABC transporter substrate-binding protein; ABC transporter substrate-binding protein
OG0003523	OG0003523.15	tssL	type VI secretion system protein TssL				hypothetical protein; type VI secretion system protein TssL
OG0003524	OG0003524.0		LuxR family transcriptional regula tor				regulatory protein RhiR; hypothetical protein; LuxR family transcriptional regulator; transcriptional regulator; autoinducer-binding protein
OG0003525	OG0003525.5		ABC transport er permease		WSM419_Smed_5557		ABC transporter permease; binding-protein-dependent transport systems inner membrane component
OG0003525	OG0003525.58		ABC transporter permease				ABC transporter permease
OG0003526	OG0003526.0		li pid kinase				nitrate/sulfonate ABC transporter substrate-binding protein; lipid kinase; NMT1-like family protein; ABC transporter substrate-binding protein
OG0003527	OG0003527.70		DUF1989 domain-containing protein				DUF1989 domain-containing protein
OG0003527	OG0003527.29		DUF1989 domain contai ning protein				DUF1989 domain-containing protein; urea carboxylase; urea carboxylase-associated family protein
OG0003528	OG0003528.0		biotin transporte r BioY				hypothetical protein; biotin transporter BioY
OG0003529	OG0003529.0		MarR family transcriptional regulator				hypothetical protein; transcriptional regulator; MarR family transcriptional regulator
OG0003530	OG0003530.8		hypothetical protein				chitinase; hypothetical protein
OG0003530	OG0003530.69		hypothetical protein				hypothetical protein
OG0003531	OG0003531.0		il protein				microcystin dependent protein MdpB; Tail collar domain-containing protein; tail collar protein; tail protein; hypothetical protein; phage tail protein; microcystin-dependent protein
OG0003532	OG0003532.0		EamA fam ily transporter				inner membrane transporter protein RhtA; EamA family transporter
OG0003533	OG0003533.1	celC	endoglucanase		WSM419_Smed_5210		endoglucanase; cellulase; Endoglucanase Y
OG0003534	OG0003534.3		phosph ase				phosphatase; hypothetical protein; phosphoesterase; phosphohydrolase; metallophosphoesterase
OG0003535	OG0003535.14		hypothetical protein				hypothetical protein
OG0003536	OG0003536.0		dienelactone hydrolase				Dienelactone hydrolase-like protein; hydrolase; putative dienelactone hydrolase; hypothetical protein; dienelactone hydrolase; lipoprotein signal peptide
OG0003537	OG0003537.2		class I SAM dependent methyltransferase		WSM419_Smed_1956		type 12 methyltransferase; SAM-dependent methyltransferase; methyltransferase domain-containing protein; class I SAM-dependent methyltransferase
OG0003538	OG0003538.0		class GN sortase				class GN sortase; sortase, marine proteobacterial type; hypothetical protein
OG0003539	OG0003539.14		recombina se family protein				DNA invertase; recombinase family protein; DNA integration/recombination/inversion protein
OG0003540	OG0003540.0		hy a protein		WSM419_Smed_3511		GFA family glutathione-dependent formaldehyde-activating protein; hypothetical protein; aldehyde-activating protein; glutathione-dependent formaldehyde-activating protein; GFA family protein
OG0003541	OG0003541.1	tadB2	type II secretion system l protein				pilus assembly protein TadB; type II secretion system protein F; type II secretion system protein; type II secretion system F family protein; type II secretion system F domain-containing protein
OG0003542	OG0003542.0		anti sigma factor				anti-sigma factor; hypothetical protein; membrane protein
OG0003543	OG0003543.0	tssI	type VI secretion system tip protein VgrG				hypothetical protein; type VI secretion system tip protein VgrG
OG0003544	OG0003544.2		SIR2 family protein				transcriptional regulator; SIR2 family protein
OG0003545	OG0003545.0		thiosulfate sulfurtransferase				thiosulfate sulfurtransferase; sulfurtransferase
OG0003546	OG0003546.0		acyl CoA dehydrogenase				acyl-CoA dehydrogenase
OG0003547	OG0003547.0		ABC transporter substrate binding protein				ABC transporter substrate-binding protein
OG0003548	OG0003548.11		amino acid ABC transporter substrate binding protein				amino acid ABC transporter substrate-binding protein; branched-chain amino acid ABC transporter substrate-binding protein
OG0003548	OG0003548.5		ABC transporter substrate binding protein				ABC transporter substrate-binding protein
OG0003548	OG0003548.72		hypothetical protein				hypothetical protein
OG0003549	OG0003549.4	hpaR	homoprotocatechuate de gra dation operon regulator HpaR				transcriptional regulator; homoprotocatechuate degradation operon regulator HpaR; MarR family transcriptional regulator
OG0003550	OG0003550.28		hy drolase glyoxylase				hydrolase glyoxylase; hypothetical protein
OG0003551	OG0003551.0		DUF2867 domain containing protein		WSM419_Smed_2935		hypothetical protein; DUF2867 domain-containing protein
OG0003552	OG0003552.0		MarR family transcriptional regulator				transcriptional regulator; MarR family transcriptional regulator
OG0003553	OG0003553.1		porin fam ily protein				porin family protein; outer-membrane immunogenic protein
OG0003553	OG0003553.40		porin fam ily protein				porin family protein; outer-membrane immunogenic protein
OG0003554	OG0003554.38	pomB	membra ne protein				hypothetical protein; chemotaxis protein; membrane protein
OG0003555	OG0003555.0		IclR family transcriptional regulator				transcriptional regulator; IclR family transcriptional regulator
OG0003556	OG0003556.1	leuA	2 isopropylmalate synthase				2-isopropylmalate synthase
OG0003557	OG0003557.10	soxD	cytochrome c				cytochrome c; sulfite oxidase cytochrome subunit
OG0003558	OG0003558.18	paaI,paaD	phenylacet ic acid degradation protein PaaD				phenylacetic acid degradation protein; hydroxyphenylacetyl-CoA thioesterase PaaI; phenylacetic acid degradation protein PaaD
OG0003559	OG0003559.24	egtD	L histidine N(alpha) methyltransferase				L-histidine N(alpha)-methyltransferase; hypothetical protein
OG0003560	OG0003560.6		LemA family protein				lipoprotein; LemA family protein
OG0003561	OG0003561.0	hypB	hydrogenase acc esso ry prote in HypB				hypB C-terminal; [NiFe] hydrogenase nickel incorporation-associated protein HypB; hydrogenase accessory protein HypB; hypB N-terminal; HypB protein
OG0003562	OG0003562.0		transposase				IS701 family transposase; hypothetical protein; transposase
OG0003563	OG0003563.2		C4 dicarboxylate ABC transporter permease		WSM419_Smed_5136		hypothetical protein; TRAP dicarboxylate transporter subunit DctM; TRAP transporter large permease; C4-dicarboxylate ABC transporter permease; transmembrane protein
OG0003564	OG0003564.0		amidohy drolase				amidohydrolase; hypothetical protein; amidohydrolase 2
OG0003565	OG0003565.14		diaminopropionate ammonia lyase		WSM419_Smed_5076		diaminopropionate ammonia-lyase
OG0003566	OG0003566.0		IS5/IS1182 family transposase				IS5/IS1182 family transposase; IS1182 family transposase
OG0003567	OG0003567.1		RND transporter				RND transporter
OG0003568	OG0003568.0		hypothetical protein	1021_SMc04131	WSM419_Smed_3333		hypothetical protein; mandelate racemase; enolase
OG0003569	OG0003569.2		ABC transpo rter permease	1021_SMc04125	WSM419_Smed_3339		ABC transporter permease; inner-membrane translocator
OG0003570	OG0003570.2		TetR/AcrR family transcriptional regulator	1021_SMc02844	WSM419_Smed_3376		transcriptional regulator; TetR/AcrR family transcriptional regulator; TetR family transcriptional regulator
OG0003571	OG0003571.2		EamA/RhaT family trans porter	1021_SMc02855	WSM419_Smed_3386		hypothetical protein; transmembrane protein; DMT family transporter; EamA/RhaT family transporter
OG0003572	OG0003572.14		LysR family transcriptional regulator	1021_SMc02893	WSM419_Smed_3422		transcriptional regulator; LysR family transcriptional regulator
OG0003573	OG0003573.0		DUF1513 domain containing protein	1021_SMc00460	WSM419_Smed_3522		hypothetical protein; DUF1513 domain-containing protein
OG0003574	OG0003574.0		hypoth etical protein	1021_SMc00400	WSM419_Smed_3527		hypothetical protein; signal peptide protein; peptidase M75; periplasmic lipoprotein; putative signal peptide protein
OG0003575	OG0003575.0		thiol oxidoreductase	1021_SMc00401	WSM419_Smed_3528		hypothetical protein; thiol oxidoreductase; c-type cytochrome; oxidoreductase
OG0003576	OG0003576.0		peptida se	1021_SMc00402	WSM419_Smed_3529		metallopeptidase; peptidase; peptidase M75; hypothetical protein; signal peptide protein; conserved exported protein of unknown function; putative iron-regulated protein
OG0003577	OG0003577.0	tme	NADP dependent malic enzyme	1021_SMc01126	WSM419_Smed_0029		NADP-dependent malic enzyme; malic enzyme
OG0003578	OG0003578.0		hypothetica l protein	1021_SMc02222	WSM419_Smed_0138		thermonuclease family protein; hypothetical protein; membrane protein
OG0003579	OG0003579.2	TRm30.1	transposase number 1 for insertion sequence NGRIS 4	1021_SMa5028,1021_SMc04430			transposase number 1 for insertion sequence NGRIS-4g; transposase number 1 for insertion sequence NGRIS-4i; transposase; transposase number 1 for insertion sequence NGRIS-4e; transposase number 1 for insertion sequence NGRIS-4d; hypothetical protein; transposase number 1 for insertion sequence ISRM30; transposase number 1 for insertion sequence NGRIS-4f; transposase number 1 for insertion sequence NGRIS-4h
OG0003580	OG0003580.0		hypothetical protein	1021_SMc03026	WSM419_Smed_0254		hypothetical protein; flagellar protein
OG0003581	OG0003581.0	exoM	glycosyl transferase family	1021_SMc03058	WSM419_Smed_0289		UDP-hexose transferase; glycosyl transferase family A; glycosyltransferase family 2 protein; glycosyltransferase; glycosyl transferase family protein; glycosyl transferase
OG0003582	OG0003582.0		hypothetica l protein	1021_SMc00856	WSM419_Smed_0462		hypothetical protein; membrane protein
OG0003583	OG0003583.2		hypoth etical protein	1021_SMc02642	WSM419_Smed_0687		hypothetical protein; signal peptide protein; putative signal peptide protein
OG0003584	OG0003584.16		DNA repair exonucle ase	1021_SMc01909	WSM419_Smed_0878		hypothetical protein; DNA repair exonuclease; serine/threonine-specific protein phosphatase protein; metallophosphoesterase
OG0003585	OG0003585.0		DUF2849 domain containing protein	1021_SMc01054	WSM419_Smed_1100		DUF2849 domain-containing protein; hypothetical protein
OG0003586	OG0003586.4		alpha/beta hy drolase	1021_SMc00147	WSM419_Smed_1578		hypothetical protein; hydrolase; alpha/beta fold hydrolase; alpha/beta hydrolase
OG0003587	OG0003587.16		pot metbra e protein	1021_SMc04246	WSM419_Smed_1709		transmembrane signal peptide protein; hypothetical protein; membrane protein; putative transmembrane signal peptide protein
OG0003588	OG0003588.2		4 oxalocrotonate tautomerase	1021_SMc04314	WSM419_Smed_1769		hypothetical protein; 4-oxalocrotonate tautomerase
OG0003589	OG0003589.0		hypothetical protein	1021_SMc04328	WSM419_Smed_1773		hypothetical protein; lipoprotein signal peptide; conserved exported protein of unknown function
OG0003590	OG0003590.0		D hyra protein	1021_SMc04272	WSM419_Smed_1933		hypothetical protein; NUDIX hydrolase; NTP pyrophosphohydrolase protein, MuT/nudix family; DNA mismatch repair protein MutT
OG0003591	OG0003591.0		endonuclease	1021_SMc04274	WSM419_Smed_1934		hypothetical protein; endonuclease/exonuclease/phosphatase; endonuclease
OG0003592	OG0003592.0		TetR/AcrR family transcriptional regulator	1021_SMc04348	WSM419_Smed_1963		transcriptional regulator; TetR/AcrR family transcriptional regulator; TetR family transcriptional regulator
OG0003593	OG0003593.0		class I SAM dependent methyltransferase	1021_SMc01426	WSM419_Smed_2003		hypothetical protein; class I SAM-dependent methyltransferase; type 11 methyltransferase
OG0003594	OG0003594.4		cyclase fa y protein	1021_SMc01459	WSM419_Smed_2035		cyclase family protein; hypothetical protein; cyclase superfamily protein; cyclase
OG0003595	OG0003595.1		peptidase	1021_SMc01648	WSM419_Smed_2184		hypothetical protein; peptidase; CocE/NonD family hydrolase; peptidase S15; X-Pro dipeptidyl-peptidase
OG0003596	OG0003596.12		homboid family ea prote	1021_SMc00730	WSM419_Smed_2531		rhomboid family protein; hypothetical protein; DUF1751 domain-containing protein; rhomboid family intramembrane serine protease
OG0003596	OG0003596.7		rhomboid family protein				rhomboid family protein
OG0003597	OG0003597.0		TIGR02302 famil y protein	1021_SMc00722	WSM419_Smed_2539		hypothetical protein; TIGR02302 family protein; transmembrane protein
OG0003598	OG0003598.0		carbohydrate ABC transport er permease	1021_SMc02473	WSM419_Smed_2948		ABC transporter permease; carbohydrate ABC transporter permease; binding-protein-dependent transport system inner membrane protein
OG0003599	OG0003599.0		ABC transporter substrate binding protein	1021_SMc02471	WSM419_Smed_2950,WSM419_Smed_4017		putative ABC sugar transporter (substrate binding protein); putative exported protein; extracellular solute-binding protein; ABC transporter substrate-binding protein; sugar ABC transporter substrate-binding protein; carbohydrate ABC transporter substrate-binding protein; hypothetical protein; periplasmic binding ABC transporter protein
OG0003600	OG0003600.0	gudD	glucarate dehydra tase	1021_SMa0056	WSM419_Smed_5845		dehydratase/enolase; glucarate dehydratase; mandelate racemase/muconate lactonizing protein
OG0003601	OG0003601.4		dihydrofol ate reductase	1021_SMa1326	WSM419_Smed_5058		deaminase reductase; dihydrofolate reductase; deaminase/reductase; deaminase-reductase domain-containing protein; hypothetical protein; riboflavin biosynthesis protein RibD
OG0003602	OG0003602.0	nhaA	Na+/H+ antiporter NhaA	1021_SMa1913			Na+/H+ antiporter; Na+/H+ antiporter NhaA
OG0003603	OG0003603.8		LysR family transcriptional regulator	1021_SMa1987			LysR family transcriptional regulator
OG0003604	OG0003604.62		aldo/keto reductase				aldo/keto reductase
OG0003604	OG0003604.3		aldo/keto reductase	1021_SM_b20656,1021_SMa2157	WSM419_Smed_4332		oxidoreductase; aldo/keto reductase
OG0003605	OG0003605.0		ABC transporter substrate binding protein	1021_SM_b21097,1021_SMa2199	WSM419_Smed_4984,WSM419_Smed_5457		amino acid ABC transporter substrate-binding protein; extracellular solute-binding protein; ABC transporter substrate-binding protein
OG0003606	OG0003606.1		5 oxoprolinase	1021_SM_b20023	WSM419_Smed_4106		hypothetical protein; 5-oxoprolinase; oxoprolinase family protein
OG0003607	OG0003607.0		hypothetical protein	1021_SM_b20041	WSM419_Smed_4094		hypothetical protein
OG0003608	OG0003608.2		iron ABC transpor ter permease	1021_SM_b20057	WSM419_Smed_4080		ABC transporter permease; iron ABC transporter permease; transport system permease
OG0003609	OG0003609.0		LacI family transcriptional regulator	1021_SM_b20154,1021_SM_b20366	WSM419_Smed_3751,WSM419_Smed_3964,WSM419_Smed_4293		LacI family DNA-binding transcriptional regulator; LacI family transcriptional regulator; hypothetical protein; transcriptional regulator PurR; transcriptional regulator; periplasmic binding protein/LacI transcriptional regulator
OG0003610	OG0003610.0		ABC transport er permease	1021_SM_b20182	WSM419_Smed_3934		ABC transporter permease; ABC transporter; nitrate ABC transporter permease; binding-protein-dependent transport systems inner membrane component
OG0003611	OG0003611.2	thuF	su gar ABC transport er permease	1021_SM_b20326,1021_SM_b21459	WSM419_Smed_3811,WSM419_Smed_4397		binding-protein-dependent transport systems inner membrane component; trehalosemaltose transporter permease; trehalose/maltose ABC transporter permease; binding-protein-dependent transport system inner membrane protein; sugar uptake ABC transporter permease; sugar ABC transporter permease
OG0003612	OG0003612.18		flavodoxin fa ly protein	1021_SM_b20521			hypothetical protein; flavodoxin family protein; NADPH-dependent FMN reductase
OG0003613	OG0003613.0		glycosyl transferase	1021_SM_b21252	WSM419_Smed_4585		glycosyltransferase family 1 protein; group 1 glycosyl transferase; glycosyl transferase family 1; glycosyltransferase; glycosyl transferase
OG0003614	OG0003614.57		DUF982 domain containing protein				hypothetical protein; DUF982 domain-containing protein
OG0003614	OG0003614.8		DUF982 domain containing protein	1021_SM_b21296	WSM419_Smed_4627		hypothetical protein; DUF982 domain-containing protein
OG0003615	OG0003615.0		AraC fam ily transcriptional regulator	1021_SM_b20859,1021_SM_b21559	WSM419_Smed_5827		transcriptional regulator; helix-turn-helix domain-containing protein; AraC family transcriptional regulator
